,Name,Date of Birth,Date of Death,Race,Gender,Religion,Title,Term Start,Term End,Party,Nominator,Court,Year
395,Bernhard Wolff,1886-09-01,1966-09-25,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1956-08-31,,,Germany,1951
396,Georg Fröhlich,1884-03-20,1971-06-05,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1956-08-31,,,Germany,1951
397,Konrad Zweigert,1911-01-22,1996-02-12,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1956-10-11,Social Democratic Party of Germany,,Germany,1951
398,Franz Wessel,1903-03-06,1958-09-10,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1958-09-10,,,Germany,1951
399,Rudolf Katz,1895-09-30,1961-07-23,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1961-07-23,Social Democratic Party of Germany,,Germany,1951
400,Rudolf Katz,1895-11-23,1961-07-23,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1961-07-23,Social Democratic Party of Germany,,Germany,1951
401,Gerhard Heiland,1894-02-08,1961-08-22,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1961-08-22,,,Germany,1951
402,Erna Scheffler,1893-09-21,1983-05-22,,female,,judge at the Federal Constitutional Court of Germany,1951-09-07,1963-08-31,,,Germany,1951
403,Walter Klaas,1895-07-25,1978-03-30,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1963-08-31,,,Germany,1951
404,Ernst Friesenhahn,1901-12-26,1984-08-05,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1963-08-31,,,Germany,1951
405,Martin Drath,1902-11-12,1976-04-14,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1963-08-31,Socialist Unity Party of Germany,,Germany,1951
406,Martin Drath,1902-11-12,1976-04-14,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1963-08-31,Social Democratic Party of Germany,,Germany,1951
407,Joachim Lehmann,1909-06-07,1979-02-04,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1963-08-31,,,Germany,1951
408,Herbert Scholtissek,1900-09-19,1979-11-08,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1967-08-31,Christian Democratic Union,,Germany,1951
409,Herbert Scholtissek,1900-09-19,1979-11-08,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1967-08-31,Centre Party,,Germany,1951
410,Julius Federer,1911-05-08,1984-01-20,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1967-08-31,,,Germany,1951
411,Anton Henneka,1900-06-08,1984-02-29,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1968-12-20,,,Germany,1951
412,Gerhard Leibholz,1901-11-15,1982-02-19,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1971-12-08,,,Germany,1951
413,Erwin Stein,1903-03-07,1992-08-15,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1971-12-08,Christian Democratic Union,,Germany,1951
414,Theodor Ritterspach,1904-02-27,1999-05-12,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1975-11-07,,,Germany,1951
415,Hans Georg Rupp,1907-08-30,1989-09-14,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1975-11-07,Social Democratic Party of Germany,,Germany,1951
416,Willi Geiger,1909-05-22,1994-01-19,,male,,judge at the Federal Constitutional Court of Germany,1951-09-07,1977-11-02,National Socialist German Workers' Party (Nazi Party),,Germany,1951
417,Kurt Zweigert,1886-08-18,1967-02-26,,male,,judge at the Federal Constitutional Court of Germany,1951-09-13,1952-02-14,,,Germany,1951
418,Wilhelm Ellinghaus,1888-06-27,1961-09-08,,male,,judge at the Federal Constitutional Court of Germany,1951-09-13,1955-10-12,Social Democratic Party of Germany,,Germany,1951
419,Egon Schunck,1890-12-11,1981-01-02,,male,,judge at the Federal Constitutional Court of Germany,1952-09-13,1963-08-31,,,Germany,1952
420,Josef Wintrich,1891-02-15,1958-10-19,,male,,judge at the Federal Constitutional Court of Germany,1954-03-23,1958-10-19,Christian Social Union of Bavaria,,Germany,1954
421,Karl Heck,1896-11-18,1997-06-02,,male,,judge at the Federal Constitutional Court of Germany,1954-04-02,1965-02-09,,,Germany,1954
422,Hans Kutscher,1911-12-14,1993-08-24,,male,,judge at the Federal Constitutional Court of Germany,1955-10-12,1956-08-31,,,Germany,1955
423,Hans Kutscher,1911-12-14,1993-08-24,,male,,judge at the Federal Constitutional Court of Germany,1956-09-01,1970-10-25,,,Germany,1956
424,Hugo Berger,1897-09-24,1990-03-13,,male,,judge at the Federal Constitutional Court of Germany,1959-01-08,1967-08-11,,,Germany,1959
425,Gebhard Müller,1900-04-17,1990-08-07,,male,,judge at the Federal Constitutional Court of Germany,1959-01-08,1971-12-08,Christian Democratic Union,,Germany,1959
426,Gebhard Müller,1900-04-17,1990-08-07,,male,,judge at the Federal Constitutional Court of Germany,1959-01-08,1971-12-08,Centre Party,,Germany,1959
427,Friedrich Wilhelm Wagner,1894-02-28,1971-03-17,,male,,judge at the Federal Constitutional Court of Germany,1961-12-19,1967-10-18,Social Democratic Party of Germany,,Germany,1961
428,Karl Haager,1911-02-25,2008-07-03,,male,,judge at the Federal Constitutional Court of Germany,1962-05-09,1979-05-07,,,Germany,1962
429,Gregor Geller,1903-07-08,1988-08-28,,male,,judge at the Federal Constitutional Court of Germany,1963-09-01,1971-12-08,,,Germany,1963
430,Wiltraut Rupp-von Brünneck,1912-08-07,1977-08-18,,female,,judge at the Federal Constitutional Court of Germany,1963-09-01,1977-08-18,,,Germany,1963
431,Werner Böhmer,1915-03-11,2014-06-11,,male,,judge at the Federal Constitutional Court of Germany,1965-02-10,1983-07-05,,,Germany,1965
432,Wolfgang Zeidler,1924-09-02,1987-12-31,,male,,judge at the Federal Constitutional Court of Germany,1967-08-11,1970-05-31,Social Democratic Party of Germany,,Germany,1967
433,Fabian von Schlabrendorff,1907-07-01,1980-09-03,,male,,judge at the Federal Constitutional Court of Germany,1967-09-01,1975-11-07,,,Germany,1967
434,Hans Brox,1920-08-09,2009-06-08,,male,,judge at the Federal Constitutional Court of Germany,1967-09-01,1975-11-07,,,Germany,1967
435,Walter Seuffert,1907-02-04,1989-12-28,,male,,judge at the Federal Constitutional Court of Germany,1967-10-18,1975-11-07,Social Democratic Party of Germany,,Germany,1967
436,Hans-Justus Rinck,1918-09-05,1995-08-13,,male,,judge at the Federal Constitutional Court of Germany,1968-12-20,1986-10-08,,,Germany,1968
437,Helmut Simon,1922-01-01,2013-09-26,,male,,judge at the Federal Constitutional Court of Germany,1970-06-15,1987-11-16,,,Germany,1970
438,Walter Rudi Wand,1928-09-07,1985-06-29,,male,,judge at the Federal Constitutional Court of Germany,1970-10-26,1983-12-20,,,Germany,1970
439,Martin Hirsch,1913-01-06,1992-04-12,,male,,judge at the Federal Constitutional Court of Germany,1971-12-08,1981-07-06,Social Democratic Party of Germany,,Germany,1971
440,Hans Joachim Faller,1915-05-17,2006-09-09,,male,,judge at the Federal Constitutional Court of Germany,1971-12-08,1983-07-19,,,Germany,1971
441,Ernst Benda,1925-01-15,2009-03-02,,male,Protestantism,judge at the Federal Constitutional Court of Germany,1971-12-08,1983-12-20,Christian Democratic Union,,Germany,1971
442,Joachim Rottmann,1925-10-22,2014-11-11,,male,,judge at the Federal Constitutional Court of Germany,1971-12-08,1983-12-20,,,Germany,1971
443,Konrad Hesse,1919-01-21,2005-03-15,,male,,judge at the Federal Constitutional Court of Germany,1975-11-07,1987-07-16,,,Germany,1975
444,Konrad Hesse,1919-01-29,2005-03-15,,male,,judge at the Federal Constitutional Court of Germany,1975-11-07,1987-07-16,,,Germany,1975
445,Helmut Steinberger,1931-12-18,2014-07-06,,male,,judge at the Federal Constitutional Court of Germany,1975-11-07,1987-11-16,,,Germany,1975
446,Wolfgang Zeidler,1924-09-02,1987-12-31,,male,,judge at the Federal Constitutional Court of Germany,1975-11-07,1987-11-16,Social Democratic Party of Germany,,Germany,1975
447,Dietrich Katzenstein,1923-03-19,2008-09-10,,male,,judge at the Federal Constitutional Court of Germany,1975-11-07,1987-11-16,Christian Democratic Union,,Germany,1975
448,Engelbert Niebler,1921-08-13,2006-06-29,,male,,judge at the Federal Constitutional Court of Germany,1975-11-07,1987-11-16,,,Germany,1975
449,Ernst Träger,1926-01-29,2015-01-25,,male,,judge at the Federal Constitutional Court of Germany,1977-11-02,1989-11-28,,,Germany,1977
450,Gisela Niemeyer,1923-09-25,2012-02-07,,female,,judge at the Federal Constitutional Court of Germany,1977-11-02,1989-11-28,Social Democratic Party of Germany,,Germany,1977
451,Hermann Heußner,1926-03-02,1996-06-18,,male,,judge at the Federal Constitutional Court of Germany,1979-05-07,1989-06-15,,,Germany,1979
452,Ernst Gottfried Mahrenholz,1929-06-19,2021-01-28,,male,,judge at the Federal Constitutional Court of Germany,1981-07-06,1994-03-24,Social Democratic Party of Germany,,Germany,1981
453,Franz Niedermaier,1925-05-13,1986-04-05,,male,,judge at the Federal Constitutional Court of Germany,1983-07-05,1986-04-05,,,Germany,1983
454,Johann Friedrich Henschel,1931-06-10,2007-03-19,,male,,judge at the Federal Constitutional Court of Germany,1983-07-19,1995-10-13,Free Democratic Party,,Germany,1983
455,Roman Herzog,1934-04-05,2017-01-10,,male,Evangelical Church in Germany,judge at the Federal Constitutional Court of Germany,1983-12-20,1994-06-30,Christian Democratic Union,,Germany,1983
456,Ernst-Wolfgang Böckenförde,1930-09-19,2019-02-24,,male,Catholicism,judge at the Federal Constitutional Court of Germany,1983-12-20,1996-05-03,Social Democratic Party of Germany,,Germany,1983
457,Hans Hugo Klein,1936-08-05,,,male,,judge at the Federal Constitutional Court of Germany,1983-12-20,1996-05-03,Christian Democratic Union,,Germany,1983
458,Otto Seidl,1931-12-11,,,male,,judge at the Federal Constitutional Court of Germany,1986-06-10,1998-02-27,,,Germany,1986
459,Karin Graßhof,1937-06-25,,,female,,judge at the Federal Constitutional Court of Germany,1986-10-08,1998-10-15,,,Germany,1986
460,Dieter Grimm,1937-05-11,,,male,,judge at the Federal Constitutional Court of Germany,1987-07-16,1999-12-16,,,Germany,1987
461,Everhardt Franßen,1937-10-01,,,male,,judge at the Federal Constitutional Court of Germany,1987-11-16,1991-06-30,Social Democratic Party of Germany,,Germany,1987
462,Thomas Dieterich,1934-06-19,2016-05-06,,male,,judge at the Federal Constitutional Court of Germany,1987-11-16,1994-02-04,,,Germany,1987
463,Alfred Söllner,1930-02-05,2005-11-09,,male,,judge at the Federal Constitutional Court of Germany,1987-11-16,1995-10-13,Christian Democratic Union,,Germany,1987
464,Konrad Kruis,1930-05-11,,,male,,judge at the Federal Constitutional Court of Germany,1987-11-16,1998-09-28,,,Germany,1987
465,Paul Kirchhof,1943-02-21,,,male,,judge at the Federal Constitutional Court of Germany,1987-11-16,1999-12-16,Christian Democratic Union,,Germany,1987
466,Jürgen Kühling,1934-04-27,2019-12-16,,male,,judge at the Federal Constitutional Court of Germany,1989-07-12,2001-01-23,Social Democratic Party of Germany,,Germany,1989
467,Helga Seibert,1939-01-07,1999-04-12,,female,,judge at the Federal Constitutional Court of Germany,1989-11-28,1998-09-28,,,Germany,1989
468,Klaus Winter,1936-05-29,2000-10-10,,male,,judge at the Federal Constitutional Court of Germany,1989-11-28,2000-10-10,,,Germany,1989
469,Bertold Sommer,1937-09-13,,,male,,judge at the Federal Constitutional Court of Germany,1991-07-12,2003-07-31,,,Germany,1991
470,Jutta Limbach,1934-03-27,2016-09-10,,female,,judge at the Federal Constitutional Court of Germany,1994-03-24,2002-04-10,Social Democratic Party of Germany,,Germany,1994
471,Renate Jaeger,1940-12-30,,,female,,judge at the Federal Constitutional Court of Germany,1994-03-24,2004-10-31,,,Germany,1994
472,Evelyn Haas,1949-04-07,,,female,,judge at the Federal Constitutional Court of Germany,1994-09-14,2006-10-02,,,Germany,1994
473,Dieter Hömig,1938-03-15,2016-10-18,,male,,judge at the Federal Constitutional Court of Germany,1995-10-13,2006-04-25,,,Germany,1995
474,Udo Steiner,1939-09-16,,,male,,judge at the Federal Constitutional Court of Germany,1995-10-13,2007-10-01,,,Germany,1995
475,Hans-Joachim Jentsch,1937-09-20,2021-03-28,,male,,judge at the Federal Constitutional Court of Germany,1996-05-03,2005-09-28,Christian Democratic Union,,Germany,1996
476,Winfried Hassemer,1940-02-17,2014-01-09,,male,,judge at the Federal Constitutional Court of Germany,1996-05-03,2008-05-07,,,Germany,1996
477,Hans-Jürgen Papier,1943-07-06,,,male,,judge at the Federal Constitutional Court of Germany,1998-02-27,2010-03-16,Christian Social Union of Bavaria,,Germany,1998
478,Siegfried Broß,1946-07-18,,,male,,judge at the Federal Constitutional Court of Germany,1998-09-28,2010-11-16,,,Germany,1998
479,Lerke Osterloh,1944-09-29,,,female,,judge at the Federal Constitutional Court of Germany,1998-10-15,2010-11-16,,,Germany,1998
480,Christine Hohmann-Dennhardt,1950-04-30,,,female,,judge at the Federal Constitutional Court of Germany,1999-01-11,2011-02-02,Social Democratic Party of Germany,,Germany,1999
481,Wolfgang Hoffmann-Riem,1940-03-04,,,male,,judge at the Federal Constitutional Court of Germany,1999-12-16,2008-04-02,,,Germany,1999
482,Udo Di Fabio,1954-03-26,,,male,,judge at the Federal Constitutional Court of Germany,1999-12-16,2011-12-19,,,Germany,1999
483,Brun-Otto Bryde,1943-01-12,,,male,,judge at the Federal Constitutional Court of Germany,2001-01-23,2011-02-02,,,Germany,2001
484,Rudolf Mellinghoff,1954-11-25,,,male,,judge at the Federal Constitutional Court of Germany,2001-01-23,2011-10-31,,,Germany,2001
485,Gertrude Lübbe-Wolff,1953-01-31,,,female,,judge at the Federal Constitutional Court of Germany,2002-04-10,2014-06-02,,,Germany,2002
486,Michael Gerhardt,1948-04-02,,,male,,judge at the Federal Constitutional Court of Germany,2003-07-31,2014-07-15,,,Germany,2003
487,Reinhard Gaier,1954-04-03,,,male,,judge at the Federal Constitutional Court of Germany,2004-11-01,2016-11-08,,,Germany,2004
488,Herbert Landau,1948-04-26,,,male,,judge at the Federal Constitutional Court of Germany,2005-07-20,2016-07-20,,,Germany,2005
489,Michael Eichberger,1953-06-23,,,male,,judge at the Federal Constitutional Court of Germany,2006-04-25,2018-04-24,,,Germany,2006
490,Wilhelm Schluckebier,1949-11-03,,,male,,judge at the Federal Constitutional Court of Germany,2006-10-02,2017-11-30,Christian Democratic Union,,Germany,2006
491,Ferdinand Kirchhof,1950-06-21,,,male,,judge at the Federal Constitutional Court of Germany,2007-10-01,2018-06-30,,,Germany,2007
492,Johannes Masing,1959-01-09,,,male,,judge at the Federal Constitutional Court of Germany,2008-04-02,2020-07-10,,,Germany,2008
493,Andreas Voßkuhle,1963-12-21,,,male,,judge at the Federal Constitutional Court of Germany,2008-05-07,2020-06-22,,,Germany,2008
494,Andreas Paulus,1968-08-30,,,male,,judge at the Federal Constitutional Court of Germany,2010-03-16,2022-03-15,Free Democratic Party,,Germany,2010
495,Monika Hermanns,1959-03-06,,,female,,judge at the Federal Constitutional Court of Germany,2010-11-16,2022-11-15,,,Germany,2010
496,Peter M. Huber,1959-01-21,,,male,,judge at the Federal Constitutional Court of Germany,2010-11-16,2022-11-15,Christian Democratic Union,,Germany,2010
497,Peter M. Huber,1959-01-21,,,male,,judge at the Federal Constitutional Court of Germany,2010-11-16,2022-11-15,Christian Social Union of Bavaria,,Germany,2010
498,Susanne Baer,1964-02-16,,,female,,judge at the Federal Constitutional Court of Germany,2011-02-02,2023-02-01,,,Germany,2011
499,Gabriele Britz,1968-10-01,,,female,,judge at the Federal Constitutional Court of Germany,2011-02-02,2023-02-01,,,Germany,2011
500,Peter Müller,1955-09-25,,,male,,judge at the Federal Constitutional Court of Germany,2011-12-19,2023-09-30,Christian Democratic Union,,Germany,2011
501,Sibylle Kessal-Wulf,1958-11-25,,,female,,judge at the Federal Constitutional Court of Germany,2011-12-19,2023-12-18,,,Germany,2011
502,Doris König,1957-06-25,,,female,,judge at the Federal Constitutional Court of Germany,2014-06-02,2025-06-30,,,Germany,2014
503,Ulrich Maidowski,1958-10-13,,,male,,judge at the Federal Constitutional Court of Germany,2014-07-15,2026-07-14,,,Germany,2014
504,Christine Langenfeld,1962-08-16,,,female,,judge at the Federal Constitutional Court of Germany,2016-07-20,2028-07-19,,,Germany,2016
505,Yvonne Ott,1963-05-25,,,female,,judge at the Federal Constitutional Court of Germany,2016-11-08,2028-11-07,,,Germany,2016
506,Stephan Harbarth,1971-12-19,,,male,Catholic Church,judge at the Federal Constitutional Court of Germany,2018-11-30,2030-11-29,Christian Democratic Union,,Germany,2018
507,Astrid Wallrabenstein,1969-01-01,,,female,,judge at the Federal Constitutional Court of Germany,2020-06-22,2032-06-21,,,Germany,2020
508,Ines Härtel,1972-01-01,,,female,,judge at the Federal Constitutional Court of Germany,2020-07-10,,,,Germany,2020
509,Harilal Jekisundas Kania,1890-11-03,1951-11-06,,male,,Chief Justice of India,1950-01-26,1951-11-06,,,India,1950
510,Fazal Ali,1886-09-19,1959-08-22,,male,Islam,judge of the Supreme Court of India,1950-01-26,1952-05-30,,,India,1950
511,Vivian Bose,1891-06-09,1983-11-29,,male,,judge of the Supreme Court of India,1951-03-05,1956-06-09,,,India,1951
512,Mandakolathur Patanjali Sastri,1889-01-04,1963-03-16,,male,,Chief Justice of India,1951-11-07,1954-01-03,,,India,1951
513,Mehr Chand Mahajan,1889-12-23,1967-01-01,,male,,Chief Justice of India,1954-01-04,1954-12-22,Indian National Congress,,India,1954
514,Bijan Kumar Mukherjea,1891-08-15,1956-02-01,,male,,Chief Justice of India,1954-12-23,1956-01-31,,,India,1954
515,Sudhi Ranjan Das,1894-10-01,1977-09-18,,male,Hinduism,Chief Justice of India,1956-02-01,1959-09-30,,,India,1956
516,Bhuvaneshwar Prasad Sinha,1899-02-01,1986-11-12,,male,,Chief Justice of India,1959-10-01,1964-01-31,,,India,1959
517,Pralhad Balacharya Gajendragadkar,1901-03-16,1981-06-12,,male,,Chief Justice of India,1964-02-01,1966-03-15,,,India,1964
518,Amal Kumar Sarkar,1901-06-29,,,male,,Chief Justice of India,1966-03-16,1966-06-29,,,India,1966
519,Koka Subba Rao,1902-07-15,1976-05-06,,male,,Chief Justice of India,1966-06-30,1967-04-11,,,India,1966
520,Vashishtha Bhargava,1906-02-05,,,male,,judge of the Supreme Court of India,1966-08-08,1971-02-04,,,India,1966
521,Kailas Nath Wanchoo,1903-02-25,http://www.wikidata.org/.well-known/genid/6c57bf5c6eccc48aa4d5f5131f75b330,,male,,Chief Justice of India,1967-04-12,1968-02-24,,,India,1967
522,K. S. Hegde,1909-06-11,1990-05-24,,male,,judge of the Supreme Court of India,1967-07-17,1973-04-30,Bharatiya Janata Party,,India,1967
523,Mohammad Hidayatullah,1905-12-17,1992-09-18,,male,Islam,Chief Justice of India,1968-02-25,1970-12-16,,,India,1968
524,Jayantilal Chhotalal Shah,1906-01-22,1991-01-04,,male,,Chief Justice of India,1970-12-17,1971-01-21,,,India,1970
525,Sarv Mittra Sikri,1908-04-26,1992-09-24,,male,,Chief Justice of India,1971-01-22,1973-04-25,,,India,1971
526,Subimal Chandra Roy,1912-01-01,1971-01-01,,male,,judge of the Supreme Court of India,1971-06-19,1971-11-12,,,India,1971
527,Hans Raj Khanna,1912-07-03,2008-02-25,,male,,judge of the Supreme Court of India,1971-09-22,1977-03-11,,,India,1971
528,K. K. Mathew,1911-01-03,1992-05-02,,male,,judge of the Supreme Court of India,1971-10-04,1976-01-02,,,India,1971
529,Ajit Nath Ray,1912-01-29,2010-12-25,,male,,Chief Justice of India,1973-04-26,1977-01-27,,,India,1973
530,Parbati Kumar Goswami,1913-01-01,,,male,,judge of the Supreme Court of India,1973-09-10,1977-12-31,,,India,1973
531,Alak Chandra Gupta,1917-01-01,,,male,,judge of the Supreme Court of India,1974-09-02,1981-12-31,,,India,1974
532,Syed Murtaza Fazl Ali,1920-12-20,1985-08-20,,male,Islam,judge of the Supreme Court of India,1975-04-02,1985-08-20,,,India,1975
533,Mirza Hameedullah Beg,1913-02-22,1988-11-19,,male,Islam,Chief Justice of India,1977-01-29,1978-02-21,,,India,1977
534,Yeshwant Vishnu Chandrachud,1920-07-12,2008-07-14,,male,,Chief Justice of India,1978-02-22,1985-07-11,,,India,1978
535,Ananda Prakash Sen,1923-01-01,,,male,,judge of the Supreme Court of India,1978-07-17,1988-09-19,,,India,1978
536,Baharul Islam,1918-03-01,1993-02-05,,male,,judge of the Supreme Court of India,1980-12-04,1983-01-12,Indian National Congress,,India,1980
537,Dinshah Pirosha Madon,1921-04-07,,,male,,judge of the Supreme Court of India,1983-03-15,1986-04-06,,,India,1983
538,Manharlal Pranlal Thakkar,1923-11-04,,,male,,judge of the Supreme Court of India,1983-03-15,1988-11-03,,,India,1983
539,Vazhakkulangarayil Khalid,1922-07-01,2017-11-15,,male,,judge of the Supreme Court of India,1984-06-25,1987-06-30,,,India,1984
540,Prafullachandra Natwarlal Bhagwati,1921-12-21,2017-06-15,,male,,Chief Justice of India,1985-07-12,1986-12-20,,,India,1985
541,Goverdhan Lal Oza,1924-01-01,,,male,,judge of the Supreme Court of India,1985-10-29,1989-12-11,,,India,1985
542,Raghunandan Swarup Pathak,1924-11-25,2007-11-17,,male,,Chief Justice of India,1986-12-21,1989-06-18,,,India,1986
543,Narayan Dutta Ojha,1926-01-19,,,male,,judge of the Supreme Court of India,1988-01-18,1991-01-18,,,India,1988
544,Kuldip Singh,1932-01-01,,,male,,judge of the Supreme Court of India,1988-12-14,1996-12-21,,,India,1988
545,Engalaguppe Seetharamiah Venkataramiah,1924-12-18,1997-09-24,,male,,Chief Justice of India,1989-06-19,1989-12-17,,,India,1989
546,Fathima Beevi,1927-04-30,,,female,Islam,judge of the Supreme Court of India,1989-10-06,1992-04-29,,,India,1989
547,Narendra Mohan Kasliwal,1928-04-04,,,male,,judge of the Supreme Court of India,1989-10-06,1993-04-03,,,India,1989
548,P. B. Sawant,1930-06-30,2021-02-15,,male,,judge of the Supreme Court of India,1989-10-06,1995-06-29,,,India,1989
549,Sabyasachi Mukharji,1927-06-01,1990-09-25,,male,,Chief Justice of India,1989-12-18,1990-09-25,,,India,1989
550,Ranganath Mishra,1926-11-25,2012-09-13,,male,,Chief Justice of India,1990-09-25,1991-11-24,Indian National Congress,,India,1990
551,Yogeshwar Dayal,1930-11-18,1994-08-02,,male,,judge of the Supreme Court of India,1991-03-22,1994-08-02,,,India,1991
552,Ganendra Narayan Ray,1933-05-01,,,male,,judge of the Supreme Court of India,1991-10-07,1998-04-30,,,India,1991
553,Kamal Narain Singh,1926-12-13,,,male,,Chief Justice of India,1991-11-25,1991-12-12,,,India,1991
554,Madhukar Hiralal Kania,1927-11-18,2016-02-01,,male,,Chief Justice of India,1991-12-13,1992-11-17,,,India,1991
555,Lalit Mohan Sharma,1928-02-12,2008-11-03,,male,,Chief Justice of India,1992-11-18,1993-02-11,,,India,1992
556,Manepalli Narayana Rao Venkatachaliah,1929-10-25,,,male,,Chief Justice of India,1993-02-12,1994-10-24,,,India,1993
557,Aziz Mushabber Ahmadi,1932-03-25,,,male,Islam,Chief Justice of India,1994-10-25,1997-03-24,,,India,1994
558,Sujata Manohar,1934-08-28,,,female,,judge of the Supreme Court of India,1994-11-08,1999-08-27,,,India,1994
559,G. T. Nanavati,1935-02-17,2021-12-18,,male,,judge of the Supreme Court of India,1995-03-06,2000-02-16,,,India,1995
560,Sudhakar Panditrao Kurdukar,1935-01-16,,,male,,judge of the Supreme Court of India,1996-03-29,2000-01-15,,,India,1996
561,Jagdish Sharan Verma,1933-01-18,2013-04-22,,male,,Chief Justice of India,1997-03-25,1998-01-18,,,India,1997
562,Madan Mohan Punchhi,1933-10-10,2015-06-17,,male,,Chief Justice of India,1998-01-18,1998-10-09,,,India,1998
563,Adarsh Sein Anand,1936-11-01,2017-12-01,,male,,Chief Justice of India,1998-10-10,2001-11-01,,,India,1998
564,Umesh Chandra Banerjee,1937-11-18,2012-11-05,,male,,judge of the Supreme Court of India,1998-12-09,2002-11-17,,,India,1998
565,Ram Prakash Sethi,1937-07-07,2007-01-17,,male,,judge of the Supreme Court of India,1999-01-08,2002-07-06,,,India,1999
566,N. Santosh Hegde,1940-06-16,,,male,,judge of the Supreme Court of India,1999-01-08,2005-06-16,,,India,1999
567,Sailendu Nath Phukan,1937-04-01,2018-11-11,,male,,judge of the Supreme Court of India,1999-01-28,2002-03-31,,,India,1999
568,Doraiswamy Raju,1939-07-02,,,male,,judge of the Supreme Court of India,2000-01-28,2004-07-01,,,India,2000
569,Ruma Pal,1941-06-03,,,female,,judge of the Supreme Court of India,2000-01-28,2006-06-02,,,India,2000
570,Shivaraj Patil,1940-01-12,,,male,,judge of the Supreme Court of India,2000-03-15,2005-01-11,,,India,2000
571,Sam Nariman Variava,1940-11-08,,,male,,judge of the Supreme Court of India,2000-03-15,2005-11-07,,,India,2000
572,Ashok Bhan,1943-10-02,,,male,,judge of the Supreme Court of India,2001-08-17,2008-10-02,,,India,2001
573,Arijit Pasayat,1944-05-10,,,male,,judge of the Supreme Court of India,2001-10-19,2009-05-10,,,India,2001
574,Sam Piroj Bharucha,1937-05-06,,,male,,Chief Justice of India,2001-11-01,2002-05-06,,,India,2001
575,Bhupinder Nath Kirpal,1937-11-08,,,male,,Chief Justice of India,2002-05-06,2002-05-08,,,India,2002
576,B. N. Srikrishna,1941-05-21,,,male,,judge of the Supreme Court of India,2002-10-03,2006-05-20,,,India,2002
577,S.B. Sinha,1944-08-08,2019-03-19,,male,,judge of the Supreme Court of India,2002-10-03,2009-08-08,,,India,2002
578,Gopal Ballav Pattanaik,1937-12-19,,,male,,Chief Justice of India,2002-11-08,2002-12-19,,,India,2002
579,V. N. Khare,1939-01-01,,,male,,Chief Justice of India,2002-12-19,2004-05-02,,,India,2002
580,A. R. Lakshmanan,1942-03-22,2020-08-27,,male,,judge of the Supreme Court of India,2002-12-20,2007-03-21,,,India,2002
581,S. Rajendra Babu,1939-07-01,,,male,,Chief Justice of India,2004-05-02,2004-06-01,,,India,2004
582,Ramesh Chandra Lahoti,1940-11-01,,,male,,Chief Justice of India,2004-06-01,2005-10-31,,,India,2004
583,Ashok Kumar Mathur,1943-08-07,,,male,,judge of the Supreme Court of India,2004-06-07,2008-08-07,,,India,2004
584,C. K. Thakker,1943-11-10,,,male,,judge of the Supreme Court of India,2004-06-07,2008-11-10,,,India,2004
585,P. P. Naolekar,1943-06-29,,,male,,judge of the Supreme Court of India,2004-08-27,2008-06-29,,,India,2004
586,Tarun Chatterjee,1945-01-01,,,male,,judge of the Supreme Court of India,2004-08-27,2010-01-14,,,India,2004
587,R. V. Raveendran,1946-10-15,,,male,,judge of the Supreme Court of India,2005-09-09,2011-10-15,,,India,2005
588,Dalveer Bhandari,1947-10-01,,,male,,judge of the Supreme Court of India,2005-10-28,2012-04-27,,,India,2005
589,Yogesh Kumar Sabharwal,1942-01-14,2015-07-03,,male,,Chief Justice of India,2005-11-01,2007-01-14,,,India,2005
590,Lokeshwar Singh Panta,1944-04-23,,,male,,judge of the Supreme Court of India,2006-02-03,2009-04-23,,,India,2006
591,Markandey Katju,1946-09-20,,,male,,judge of the Supreme Court of India,2006-04-10,2011-09-19,,,India,2006
592,B. Sudarshan Reddy,1946-01-01,,,male,,judge of the Supreme Court of India,2007-01-12,2011-07-07,,,India,2007
593,V. S. Sirpurkar,1946-08-22,,,male,,judge of the Supreme Court of India,2007-01-12,2011-08-21,,,India,2007
594,H. S. Bedi,1946-09-05,,,male,,judge of the Supreme Court of India,2007-01-12,2011-09-04,,,India,2007
595,K. G. Balakrishnan,1945-05-12,,,male,,Chief Justice of India,2007-01-14,2010-05-12,,,India,2007
